  
       XFOIL         Version 6.99
  
 Calculated polar for: FW-W1-152                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -6.000  -0.3438   0.01074   0.00107  -0.0468   0.5563   0.0112  16.4639  42.9815
  -4.000  -0.1122   0.00812  -0.00063  -0.0487   0.5320   0.0116  17.1322  43.0387
  -3.500  -0.0531   0.00768  -0.00086  -0.0493   0.5262   0.0119  17.2905  43.0746
  -3.000   0.0063   0.00727  -0.00098  -0.0500   0.5190   0.0270  17.4887  44.6297
  -2.500   0.0657   0.00710  -0.00099  -0.0508   0.5080   0.0405  17.7914  45.6919
  -2.000   0.1254   0.00693  -0.00098  -0.0516   0.5002   0.0574  18.0047  46.8027
  -1.500   0.1851   0.00673  -0.00097  -0.0525   0.4994   0.0798  18.0281  48.0601
  -1.000   0.2447   0.00641  -0.00098  -0.0534   0.4978   0.1449  18.0716  50.9887
   0.000   0.3632   0.00531  -0.00098  -0.0558   0.4899   0.4854  18.2897  61.5840
   0.500   0.4226   0.00499  -0.00091  -0.0568   0.4818   0.6256  18.5151  65.4612
   1.000   0.4821   0.00487  -0.00081  -0.0578   0.4720   0.7113  18.7843  67.9145
   1.500   0.5415   0.00484  -0.00069  -0.0587   0.4642   0.7720  19.0004  69.7493
   2.000   0.6012   0.00482  -0.00061  -0.0596   0.4634   0.8065  19.0206  70.8463
   2.500   0.6609   0.00483  -0.00055  -0.0605   0.4617   0.8266  19.0679  71.5153
   3.000   0.7206   0.00488  -0.00050  -0.0614   0.4586   0.8402  19.1550  71.9721
   3.500   0.7798   0.00495  -0.00044  -0.0623   0.4527   0.8565  19.3211  72.5476
   4.000   0.8389   0.00511  -0.00037  -0.0633   0.4422   0.8679  19.6121  72.9520
   4.500   0.8975   0.00526  -0.00029  -0.0642   0.4281   0.8822  20.0026  73.4878
   5.000   0.9566   0.00532  -0.00026  -0.0651   0.4260   0.8939  20.0627  73.9269
   5.500   1.0147   0.00543  -0.00023  -0.0660   0.4181   0.9080  20.2859  74.4884
   6.000   1.0720   0.00574  -0.00013  -0.0668   0.3950   0.9204  20.9378  74.9875
   6.500   1.1282   0.00587  -0.00010  -0.0673   0.3862   0.9408  21.1876  75.8755
   7.500   1.2385   0.00666   0.00013  -0.0684   0.3360   1.0000  22.6433  79.0000
   8.000   1.2953   0.00710   0.00027  -0.0694   0.3127   1.0000  23.3380  79.0000
   8.500   1.3500   0.00775   0.00050  -0.0703   0.2817   1.0000  24.2843  79.0000
   9.000   1.3994   0.00894   0.00100  -0.0706   0.2259   1.0000  26.0758  79.0000
   9.500   1.4415   0.01070   0.00182  -0.0702   0.1577   1.0000  28.5172  79.0000
  10.000   1.4805   0.01243   0.00263  -0.0695   0.1067   1.0000  30.6393  79.0000
  10.500   1.5196   0.01386   0.00327  -0.0687   0.0777   1.0000  32.0484  79.0000
  11.000   1.5509   0.01553   0.00406  -0.0672   0.0596   1.0000  33.0553  79.0000
  11.500   1.5727   0.01792   0.00533  -0.0656   0.0479   1.0000  33.7968  79.0000
  12.000   1.5967   0.02049   0.00675  -0.0647   0.0399   1.0000  34.3491  79.0000
  12.500   1.6137   0.02372   0.00861  -0.0635   0.0309   1.0000  35.0259  79.0000
  13.000   1.6309   0.02699   0.01051  -0.0625   0.0276   1.0000  35.3169  79.0000
  13.500   1.6382   0.03112   0.01301  -0.0611   0.0223   1.0000  35.7931  79.0000
  14.000   1.6482   0.03508   0.01541  -0.0600   0.0196   1.0000  36.0422  79.0000
  14.500   1.6525   0.03964   0.01826  -0.0588   0.0179   1.0000  36.2332  79.0000
  15.000   1.6511   0.04493   0.02168  -0.0576   0.0147   1.0000  36.5903  79.0000
