  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 63(3)-630                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -4.000   0.0699   0.00686  -0.00511  -0.1065   0.5030   0.4044  10.9367  39.0384
  -3.500   0.1307   0.00675  -0.00504  -0.1081   0.4996   0.4263  11.0023  39.4831
  -3.000   0.1923   0.00666  -0.00497  -0.1098   0.4994   0.4375  11.0067  39.7125
  -2.500   0.2531   0.00663  -0.00491  -0.1112   0.4991   0.4443  11.0127  39.8518
  -2.000   0.3131   0.00663  -0.00487  -0.1125   0.4987   0.4476  11.0211  39.9181
  -1.500   0.3720   0.00664  -0.00485  -0.1136   0.4980   0.4492  11.0336  39.9527
  -1.000   0.4296   0.00666  -0.00484  -0.1144   0.4970   0.4505  11.0533  39.9783
  -0.500   0.4849   0.00669  -0.00486  -0.1147   0.4953   0.4511  11.0868  39.9910
   0.000   0.5175   0.00668  -0.00507  -0.1107   0.4922   0.4515  11.1481  39.9980
   0.500   0.5634   0.00674  -0.00518  -0.1094   0.4863   0.4644  11.2646  40.2605
   1.000   0.6048   0.00690  -0.00531  -0.1074   0.4771   0.4803  11.4476  40.5844
   1.500   0.6410   0.00715  -0.00545  -0.1045   0.4625   0.4894  11.7332  40.7697
   2.000   0.6606   0.00758  -0.00575  -0.0988   0.4511   0.4949  11.9574  40.8828
   3.000   0.7526   0.00801  -0.00608  -0.0968   0.4487   0.4991  12.0046  40.9682
   3.500   0.7874   0.00838  -0.00638  -0.0940   0.4485   0.4999  12.0093  40.9841
   4.000   0.8315   0.00866  -0.00660  -0.0929   0.4482   0.5004  12.0145  40.9938
   4.500   0.8786   0.00891  -0.00681  -0.0923   0.4479   0.5007  12.0210  40.9999
   5.000   0.9260   0.00914  -0.00703  -0.0919   0.4474   0.5100  12.0299  41.1893
   5.500   0.9716   0.00940  -0.00727  -0.0912   0.4468   0.5234  12.0428  41.4614
   6.000   0.9985   0.01004  -0.00762  -0.0877   0.4457   0.5340  12.0633  41.6753
   6.500   1.0419   0.01039  -0.00787  -0.0868   0.4440   0.5418  12.0966  41.8344
   7.000   1.0830   0.01078  -0.00817  -0.0856   0.4402   0.5460  12.1720  41.9214
   7.500   1.1056   0.01164  -0.00857  -0.0817   0.4314   0.5481  12.3460  41.9626
   8.000   1.0985   0.01346  -0.00897  -0.0740   0.4182   0.5491  12.6038  41.9831
   8.500   1.1109   0.01485  -0.00925  -0.0692   0.4013   0.5497  12.9354  41.9954
   9.000   1.1184   0.01660  -0.00941  -0.0643   0.3978   0.5541  13.0042  42.0841
   9.500   1.1624   0.01709  -0.00974  -0.0639   0.3974   0.5683  13.0129  42.3711
  10.000   1.2058   0.01759  -0.01006  -0.0636   0.3968   0.5812  13.0245  42.6328
  10.500   1.2476   0.01814  -0.01039  -0.0631   0.3961   0.5903  13.0385  42.8183
  11.000   1.2861   0.01883  -0.01074  -0.0622   0.3950   0.5954  13.0605  42.9211
  12.000   1.3080   0.02254  -0.01096  -0.0546   0.3876   0.5990  13.2056  42.9941
  12.500   1.3124   0.02465  -0.01109  -0.0502   0.3675   0.6067  13.6009  43.1503
  13.000   1.2634   0.02967  -0.00987  -0.0413   0.3466   0.6206  14.0099  43.4295
  13.500   1.3013   0.03051  -0.01022  -0.0409   0.3441   0.6334  14.0591  43.6890
  14.000   1.3307   0.03176  -0.01046  -0.0397   0.3368   0.6421  14.2029  43.8643
  14.500   1.2482   0.03924  -0.00740  -0.0295   0.3148   0.6454  14.6351  43.9319
  15.000   1.2732   0.04089  -0.00738  -0.0285   0.2962   0.6479  15.0021  43.9810
  15.500   1.3078   0.04205  -0.00764  -0.0282   0.2937   0.6518  15.0501  44.0614
  16.000   1.2341   0.05044  -0.00292  -0.0211   0.2846   0.6633  15.2273  44.2920
  16.500   1.2332   0.05385  -0.00154  -0.0189   0.2472   0.6778  15.9653  44.5845
