#
#  2-D profiel coefficienten  NACA 64-618
#  Henk-Jan Kooijman 8 dec. '95
#
#
#
#
#
#
#
# alpha   C_lift   C_drag     CD_p     C_momt
  ------ -------- --------- --------- --------
  -20.0  -0.9581  0.1785    0         0.0508
  -19.0  -0.9819  0.1534    0         0.0364
  -18.0  -1.00500 0.12876   0         0.02184
  -17.0  -1.08200 0.10365   0         0.01290
  -16.0  -1.11300 0.07855   0         -0.00279
  -15.0  -1.10500 0.05345   0         -0.02513
  -14.0  -1.07800 0.02834   0         -0.04190
-13.5	-1.053	0.01579	 0	-0.05207
-13.0     -1.015     0.01511   0       -0.06100
-12.0     -0.904     0.01337   0       -0.07073
-11.0     -0.807     0.01212   0       -0.07218
-10.0     -0.711     0.01106   0       -0.07339
 -9.0     -0.595     0.00992   0       -0.07723
 -8.0     -0.478     0.00905   0       -0.08070
 -7.0     -0.375     0.00857   0       -0.08250
 -6.0     -0.264     0.00823   0       -0.08324
 -5.0     -0.151     0.00788   0       -0.08413
 -4.0     -0.017     0.00722   0       -0.08691
 -3.0     0.088     0.00640    0      -0.09117
 -2.0     0.213     0.00542    0      -0.09461
 -1.0     0.328     0.00519    0      -0.09711
  0.0     0.442     0.00524    0      -0.10140
  1.0     0.556     0.00524    0      -0.10760
  2.0     0.670     0.00526    0      -0.11260
  3.0     0.784     0.00531    0      -0.11570
  4.0     0.898     0.00535    0      -0.11990
  5.0     1.011     0.00581    0      -0.12400
  6.0     1.104     0.00905    0      -0.12340
  7.0     1.185     0.01127    0      -0.11840
  8.0     1.263     0.01255    0      -0.11630
  8.5	1.300	0.01317	0	-0.11630
  9.0     1.335     0.01389   0       -0.11600
  9.5	1.366	0.01474	0	-0.11540
 10.0     1.394     0.01568  0        -0.11490
   10.5  1.41500  0.02760 0 -0.11450
   11.0  1.43200  0.03953 0 -0.11430
   11.5  1.44500  0.05145 0 -0.11470
   12.0  1.45700  0.06337 0 -0.11580
   12.5  1.46900  0.07530 0 -0.11650
   13.0  1.48000  0.08722 0 -0.11530
   13.5  1.48500  0.09914 0 -0.11310
   14.0  1.48400  0.11106 0 -0.11120
   14.5  1.48400  0.12299 0 -0.11010
   15.0  1.48800  0.13491 0 -0.11030
   15.5  1.49300  0.14683 0 -0.11090
   16.0  1.49700  0.15876 0 -0.11140
   16.5  1.49600  0.17068 0 -0.11110
   17.0  1.49300  0.18260 0 -0.10970
   17.5  1.49600  0.19453 0 -0.10790
   18.0  1.50700  0.20645 0 -0.10800
   18.5  1.51400  0.21837 0 -0.10900
   19.0  1.51200  0.23029 0 -0.10860
   19.5  1.50500  0.24222 0 -0.10770
   20.0  1.49800  0.25414 0 -0.10990

