  
       Polar tabelada
  
	   Re = 1e6
  
  
  
  
  
  
   alpha    CL        CD       CDp       CM    
  ------ -------- --------- --------- --------
   -4	  -0.058	0.011	   0	-0.1633
   -3	   0.049	0.0109	   0	-0.1657
   -2	   0.157	0.0108	   0	-0.1678
   -1	   0.264	0.0108	   0	-0.1697
    0	   0.371	0.0108	   0	-0.1713
	1	   0.478	0.011	   0	-0.1726
	2	   0.584	0.0112	   0	-0.1734
	3	   0.69	    0.0114	   0	-0.1734
	4	   0.795	0.0118	   0	-0.1731
	5	   0.9	    0.0122	   0	-0.1731
	6	   1.003	0.0129	   0	-0.1727
	7	   1.098	0.0154	   0	-0.1704
	8	   1.188	0.0188	   0	-0.1665
	9	   1.28	    0.0207	   0	-0.1633
	10	   1.366	0.023	   0	-0.1587
	11	   1.437	0.0256	   0	-0.1515
